TAXA_1,TAXA_2,TAXA_3,TAXA_4,TAXA_5,TAXA_6,TAXA_7,TAXA_8,TAXA_9,TAXA_10
0.0,0.13414800000000002,0.17068,0.090624,0.13477599999999998,0.171832,0.092912,0.100652,0.025703999999999998,0.07867199999999999
0.0,0.128344,0.17260799999999998,0.09146800000000001,0.137096,0.177584,0.0907,0.10507599999999999,0.020612,0.076512
0.0,0.127104,0.171428,0.091584,0.137996,0.17544,0.093148,0.09936399999999998,0.022696,0.08124
0.0,0.136672,0.177012,0.08673600000000001,0.134256,0.17628399999999997,0.086024,0.10341199999999999,0.021168,0.07843599999999999
0.0,0.138048,0.168896,0.085368,0.133016,0.179676,0.09156,0.10240400000000001,0.018436,0.082596
0.0,0.139288,0.161796,0.083456,0.13830800000000001,0.182576,0.094692,0.104216,0.016136,0.079532
0.0,0.139176,0.16373599999999996,0.089248,0.139516,0.17866,0.090364,0.103504,0.018812000000000002,0.076984
0.0,0.142592,0.158244,0.084264,0.14255600000000002,0.18402,0.086136,0.106464,0.018723999999999998,0.077
0.0,0.13706000000000002,0.16243599999999997,0.09256,0.135792,0.18851199999999999,0.08674,0.103996,0.014148000000000003,0.078756
0.0,0.144968,0.15772000000000003,0.08938,0.141052,0.18704,0.08743999999999999,0.101424,0.013432,0.077544
0.0,0.14534,0.159016,0.090988,0.141788,0.183516,0.083356,0.10680799999999999,0.013372,0.07581600000000001
0.0,0.14157199999999998,0.15682,0.09071599999999999,0.13663999999999998,0.18764399999999998,0.085068,0.11332400000000001,0.013531999999999999,0.074684
0.0,0.150476,0.158692,0.091712,0.13447599999999998,0.18619200000000002,0.080884,0.111592,0.011872,0.07410399999999999
0.0,0.139964,0.158408,0.09136,0.136352,0.1904,0.08627199999999999,0.10506,0.013032000000000002,0.079152
0.0,0.14676799999999998,0.15431999999999998,0.09328800000000001,0.137164,0.18557200000000001,0.08338799999999999,0.11497600000000001,0.011959999999999998,0.072564
0.0,0.14788,0.158288,0.091168,0.13145199999999999,0.186144,0.08144799999999999,0.11378000000000002,0.011628000000000001,0.078212
0.0,0.145952,0.150772,0.09484400000000001,0.136992,0.194516,0.07680400000000001,0.11317599999999998,0.010004,0.07694
0.0,0.146368,0.15915600000000002,0.09536399999999999,0.133764,0.18927600000000003,0.07589199999999999,0.11234,0.01134,0.0765
0.0,0.14311600000000002,0.15368,0.094792,0.13942000000000002,0.194056,0.08220799999999999,0.109236,0.010447999999999999,0.07304400000000001
0.0,0.142752,0.147188,0.098956,0.13676000000000002,0.19715999999999997,0.08228,0.114276,0.009232,0.07139599999999999
0.0,0.14638,0.154528,0.09718399999999999,0.13389600000000002,0.19056800000000002,0.079848,0.11815600000000001,0.010372,0.069068
0.0,0.14874,0.145316,0.0985,0.132964,0.19748000000000002,0.079148,0.11761599999999998,0.010116,0.07012
0.0,0.14777200000000001,0.15086,0.09564399999999998,0.12956800000000002,0.192004,0.076776,0.124508,0.010095999999999999,0.072772
0.0,0.14739200000000002,0.152204,0.100612,0.127416,0.1905,0.076592,0.126672,0.008631999999999999,0.06998
0.0,0.145848,0.14478399999999997,0.09916399999999999,0.133316,0.19924800000000004,0.077232,0.120672,0.008232,0.07150399999999998
0.0,0.151504,0.14489599999999997,0.10007599999999998,0.12958399999999998,0.201008,0.07471599999999999,0.12368799999999999,0.007856,0.066672
0.0,0.14982800000000002,0.144824,0.09707600000000001,0.128668,0.20152,0.073152,0.12809600000000002,0.007952,0.068884
0.0,0.14823199999999997,0.15056799999999998,0.097408,0.13606000000000001,0.198656,0.073556,0.122,0.007928000000000001,0.065592
0.0,0.15021600000000002,0.141444,0.10528,0.12944,0.200704,0.071108,0.121716,0.00872,0.07137199999999999
0.0,0.150512,0.14128400000000002,0.101108,0.13336,0.194596,0.076144,0.124804,0.007688,0.07050399999999998
0.0,0.148796,0.147084,0.101712,0.13178399999999998,0.19710799999999998,0.070456,0.125776,0.007352,0.069932
0.0,0.14885600000000002,0.14490399999999998,0.103288,0.12858399999999998,0.200068,0.068196,0.129648,0.007892,0.068564
0.0,0.14718,0.14622,0.10250400000000001,0.127436,0.20516799999999996,0.068084,0.12725599999999998,0.007608000000000001,0.068544
0.0,0.14914,0.14379199999999998,0.100552,0.13222,0.19934000000000002,0.070436,0.129296,0.007056,0.06816799999999999
0.0,0.148532,0.140704,0.103108,0.12768,0.20201600000000003,0.073672,0.13104,0.006964000000000001,0.06628400000000001
0.0,0.14439999999999997,0.13685200000000003,0.1052,0.13178800000000002,0.207536,0.070524,0.126936,0.007672,0.06909200000000001
0.0,0.148428,0.139916,0.10869599999999999,0.127972,0.19498,0.06914800000000002,0.13648000000000002,0.0064280000000000006,0.06795199999999998
0.0,0.1437,0.14050800000000002,0.10636799999999999,0.13258799999999998,0.20960399999999998,0.071132,0.127168,0.006240000000000001,0.062692
0.0,0.14579999999999999,0.13578400000000002,0.11073600000000001,0.12665600000000002,0.209016,0.06738000000000001,0.129816,0.005287999999999999,0.069524
